	Status
	"[met_past_demand_serv] In 2014, were you able to fully meet demand for your services or programs?"
unmet_demand_svc_otherorg	"[unmet_demand_serv] When you cannot meet community demand for services, how are client needs met? Select all that apply. [They seek similar services from another organization]"
unmet_demand_svc_remainunmet	"[unmet_demand_serv] When you cannot meet community demand for services, how are client needs met? Select all that apply. [Their needs remain unmet]"
unmet_demand_svc_family	"[unmet_demand_serv] When you cannot meet community demand for services, how are client needs met? Select all that apply. [They seek assistance from personal networks (family, friends, etc.)]"
unmet_demand_svc_govprograms	"[unmet_demand_serv] When you cannot meet community demand for services, how are client needs met? Select all that apply. [They access direct government assistance through government programs that are not outsourced to nonprofits]"
unmet_demand_svc_dontknow	"[unmet_demand_serv] When you cannot meet community demand for services, how are client needs met? Select all that apply. [Don't know]"
unmet_demand_svc_other_yn	"[unmet_demand_serv] When you cannot meet community demand for services, how are client needs met? Select all that apply. [Other, please specify...]"
	"[unmet_demand_serv] When you cannot meet community demand for services, how are client needs met? Select all that apply. [Other, please specify...] [text]"
	"[fut_demand_serv] In 2015, I anticipate that demand for my organization's services or programs:"
	"[meet_fut_demand_serv] In 2015, do you anticipate that you will be able to fully meet demand for your services or programs?"
	"[arts_audience_dev] In 2014, did your organization make a meaningful investment in activities to develop/engage audiences?"
arts_aud_data_inform_programs	[arts_audience_dev_strategies] Please select no more than 3 top investments made to develop/engage audiences: [Data collection on audience/visitor preferences and behaviors to inform programs]
arts_aud_data_inform_fundr	[arts_audience_dev_strategies] Please select no more than 3 top investments made to develop/engage audiences: [Data collection on audiences and visitors to inform fundraising ]
arts_aud_tech	[arts_audience_dev_strategies] Please select no more than 3 top investments made to develop/engage audiences: [Engaging audiences/visitors through technology]
arts_aud_participation	[arts_audience_dev_strategies] Please select no more than 3 top investments made to develop/engage audiences: [Participatory programs]
arts_aud_targeting	[arts_audience_dev_strategies] Please select no more than 3 top investments made to develop/engage audiences: [Programs for specific target audiences or visitor segments]
arts_aud_planning	[arts_audience_dev_strategies] Please select no more than 3 top investments made to develop/engage audiences: [Audiences/visitors involvement in program planning]
arts_aud_mkting	[arts_audience_dev_strategies] Please select no more than 3 top investments made to develop/engage audiences: [New marketing strategy(ies)]
arts_aud_pricing	[arts_audience_dev_strategies] Please select no more than 3 top investments made to develop/engage audiences: [Implementation of new pricing model(s)]
arts_aud_oddspaces	[arts_audience_dev_strategies] Please select no more than 3 top investments made to develop/engage audiences: [Cultural experiences in unconventional spaces]
arts_aud_educollab	[arts_audience_dev_strategies] Please select no more than 3 top investments made to develop/engage audiences: [Arts education programs or partnerships with schools]
arts_aud_other_yn	"[arts_audience_dev_strategies] Please select no more than 3 top investments made to develop/engage audiences: [Other, please specify...]"
arts_aud_other_text	"[arts_audience_dev_strategies] Please select no more than 3 top investments made to develop/engage audiences: [Other, please specify...] [text]"
arts_audience_dev_results_audgrew	[arts_audience_dev_results] Please select no more than the 3 top results from audience/visitor development and engagement: [Some audience/visitor segments grew]
arts_audience_dev_results_audshrank	[arts_audience_dev_results] Please select no more than the 3 top results from audience/visitor development and engagement: [Some audience/visitor segments declined]
arts_audience_dev_results_youth	[arts_audience_dev_results] Please select no more than the 3 top results from audience/visitor development and engagement: [We attracted younger audiences/visitors]
arts_audience_dev_results_representative	[arts_audience_dev_results] Please select no more than the 3 top results from audience/visitor development and engagement: [We attracted an audience/visitor segment that is more representative of our community]
arts_audience_dev_results_nochange	[arts_audience_dev_results] Please select no more than the 3 top results from audience/visitor development and engagement: [The number and composition of audiences/visitors did not change]
arts_audience_dev_results_moretix	[arts_audience_dev_results] Please select no more than the 3 top results from audience/visitor development and engagement: [Ticket revenue grew]
arts_audience_dev_results_moredonors	[arts_audience_dev_results] Please select no more than the 3 top results from audience/visitor development and engagement: [Donor base grew]
arts_audience_dev_results_finimpv	[arts_audience_dev_results] Please select no more than the 3 top results from audience/visitor development and engagement: [Surplus/deficit improved]
arts_audience_dev_results_nofinimpv	[arts_audience_dev_results] Please select no more than the 3 top results from audience/visitor development and engagement: [Financial results have not improved]
arts_audience_dev_results_dontknow	[arts_audience_dev_results] Please select no more than the 3 top results from audience/visitor development and engagement: [Don’t know]
arts_audience_dev_results_other_yn	"[arts_audience_dev_results] Please select no more than the 3 top results from audience/visitor development and engagement: [Other, please explain]"
arts_audience_dev_results_othertext	"[arts_audience_dev_results] Please select no more than the 3 top results from audience/visitor development and engagement: [Other, please explain] [text]"
	"[debt_fin] Do you currently have one or more types of debt financing (i.e., loans or lines of credit)?"
	"[debt_fin_amt] How much debt do you currently have outstanding, or are you able to access via an existing line of credit?"
loan_yes_exp_prog	[debt_fin_use] How do you use or have you used your current loan or line of credit? Please check all that apply. [To expand programs or services]
loan_yes_facility_exp	[debt_fin_use] How do you use or have you used your current loan or line of credit? Please check all that apply. [To expand or renovate a facility my organization leases or owns]
loan_yes_facility_new	[debt_fin_use] How do you use or have you used your current loan or line of credit? Please check all that apply. [To purchase a facility]
loan_yes_delays_gov	[debt_fin_use] How do you use or have you used your current loan or line of credit? Please check all that apply. [To manage delays in payment from our government contracts]
loan_yes_tech	[debt_fin_use] How do you use or have you used your current loan or line of credit? Please check all that apply. [To invest in technology such as computers or IT systems]
loan_yes_cashflow	[debt_fin_use] How do you use or have you used your current loan or line of credit? Please check all that apply. [To manage gaps or unevenness in revenue]
loan_yes_delays_grant	[debt_fin_use] How do you use or have you used your current loan or line of credit? Please check all that apply. [To cover costs while waiting for a grant to come in]
loan_yes_delays_emergencyloc	[debt_fin_use] How do you use or have you used your current loan or line of credit? Please check all that apply. [To have access to a line of credit for emergencies]
loan_yes_other_yn	"[debt_fin_use] How do you use or have you used your current loan or line of credit? Please check all that apply. [Other, please specify...]"
loan_yes_other_text	"[debt_fin_use] How do you use or have you used your current loan or line of credit? Please check all that apply. [Other, please specify...] [text]"
	[addtl_debt_fin] Does your organization currently need  or anticipate needing additional debt or financing?
	[addtl_debt_fin_amt] How much additional debt financing do you need or anticipate needing?
addtl_debt_fin_use_exp_prog	[addtl_debt_fin_use] How would you use an additional loan or line of credit? Please check all that apply: [To expand programs or services]
addtl_debt_fin_use_facility_exp	[addtl_debt_fin_use] How would you use an additional loan or line of credit? Please check all that apply: [To expand or renovate a facility my organization leases or owns]
addtl_debt_fin_use_facility_new	[addtl_debt_fin_use] How would you use an additional loan or line of credit? Please check all that apply: [To purchase a facility]
addtl_debt_fin_use_delays_gov	[addtl_debt_fin_use] How would you use an additional loan or line of credit? Please check all that apply: [To manage delays in payment from our government contracts]
addtl_debt_fin_use_tech	[addtl_debt_fin_use] How would you use an additional loan or line of credit? Please check all that apply: [To invest in technology such as computers or IT systems]
addtl_debt_fin_use_cashflow	[addtl_debt_fin_use] How would you use an additional loan or line of credit? Please check all that apply: [To manage gaps or unevenness in revenue]
addtl_debt_fin_use_delays_grant	[addtl_debt_fin_use] How would you use an additional loan or line of credit? Please check all that apply: [To cover costs while waiting for a grant to come in]
addtl_debt_fin_use_emergloc	[addtl_debt_fin_use] How would you use an additional loan or line of credit? Please check all that apply: [To have access to a line of credit for emergencies]
addtl_debt_fin_use_other_yn	"[addtl_debt_fin_use] How would you use an additional loan or line of credit? Please check all that apply: [Other, please specify...]"
addtl_debt_fin_use_othertext	"[addtl_debt_fin_use] How would you use an additional loan or line of credit? Please check all that apply: [Other, please specify...] [text]"
	"[future_debt_fin] Does your organization currently need or anticipate needing debt financing (i.e., loans or lines of credit)?"
	[future_debt_fin_amt] How much additional debt financing do you need or anticipate needing?
future_debt_fin_use_expandprog	[future_debt_fin_use] How would you use an additional loan or line of credit? Please check all that apply: [To expand programs or services]
future_debt_fin_use_improvefacility	[future_debt_fin_use] How would you use an additional loan or line of credit? Please check all that apply: [To expand or renovate a facility my organization leases or owns]
future_debt_fin_use_newfacility	[future_debt_fin_use] How would you use an additional loan or line of credit? Please check all that apply: [To purchase a facility]
future_debt_fin_use_managedelays	[future_debt_fin_use] How would you use an additional loan or line of credit? Please check all that apply: [To manage delays in payment from our government contracts]
future_debt_fin_use_newtech	[future_debt_fin_use] How would you use an additional loan or line of credit? Please check all that apply: [To invest in technology such as computers or IT systems]
future_debt_fin_use_cashflow	[future_debt_fin_use] How would you use an additional loan or line of credit? Please check all that apply: [To manage gaps or unevenness in revenue]
future_debt_fin_use_waitgrant	[future_debt_fin_use] How would you use an additional loan or line of credit? Please check all that apply: [To cover costs while waiting for a grant to come in]
future_debt_fin_use_emergloc	[future_debt_fin_use] How would you use an additional loan or line of credit? Please check all that apply: [To have access to a line of credit for emergencies]
future_debt_fin_use_otheryn	"[future_debt_fin_use] How would you use an additional loan or line of credit? Please check all that apply: [Other, please specify...]"
future_debt_fin_use_othertext	"[future_debt_fin_use] How would you use an additional loan or line of credit? Please check all that apply: [Other, please specify...] [text]"
	[debt_fin_applied] Have you applied for debt financing (a loan or line of credit) in the last two years?
debt_fin_applied_no_debt_statuspending	"[debt_fin_applied_no_debt] You shared that your organization applied for debt financing in the last two years, but does not have any debt outstanding. Why not? Please check all that apply. [Status is still pending]"
debt_fin_applied_no_debt_highinterest	"[debt_fin_applied_no_debt] You shared that your organization applied for debt financing in the last two years, but does not have any debt outstanding. Why not? Please check all that apply. [The interest rates were too high]"
debt_fin_applied_no_debt_highclosing	"[debt_fin_applied_no_debt] You shared that your organization applied for debt financing in the last two years, but does not have any debt outstanding. Why not? Please check all that apply. [The closing fees were too high]"
debt_fin_applied_no_debt_badrepayschedule	"[debt_fin_applied_no_debt] You shared that your organization applied for debt financing in the last two years, but does not have any debt outstanding. Why not? Please check all that apply. [The repayment schedule did not meet our needs (e.g., loan had to be repaid too quickly)]"
debt_fin_applied_no_debt_conditionsexcessive	"[debt_fin_applied_no_debt] You shared that your organization applied for debt financing in the last two years, but does not have any debt outstanding. Why not? Please check all that apply. [Other conditions of the loan were too restrictive (e.g., personal guaranty required, no prepayment allowed)]"
debt_fin_applied_no_debt_nofindtypedesired	"[debt_fin_applied_no_debt] You shared that your organization applied for debt financing in the last two years, but does not have any debt outstanding. Why not? Please check all that apply. [We could not find the type of debt financing we need (e.g., for a start-up or organizational growth) ]"
debt_fin_applied_no_debt_aversion	"[debt_fin_applied_no_debt] You shared that your organization applied for debt financing in the last two years, but does not have any debt outstanding. Why not? Please check all that apply. [Organizational leadership ultimately was averse to taking on debt]"
debt_fin_applied_no_debt_asktoosmall	"[debt_fin_applied_no_debt] You shared that your organization applied for debt financing in the last two years, but does not have any debt outstanding. Why not? Please check all that apply. [Our operating budget was too small to meet the lenders' minimums]"
debt_fin_applied_no_debt_asktoomuch	"[debt_fin_applied_no_debt] You shared that your organization applied for debt financing in the last two years, but does not have any debt outstanding. Why not? Please check all that apply. [The lender indicated that we were asking for more debt than we could manage]"
debt_fin_applied_no_debt_nocollateral	"[debt_fin_applied_no_debt] You shared that your organization applied for debt financing in the last two years, but does not have any debt outstanding. Why not? Please check all that apply. [We could not provide sufficient collateral]"
debt_fin_applied_no_debt_priordebtburden	"[debt_fin_applied_no_debt] You shared that your organization applied for debt financing in the last two years, but does not have any debt outstanding. Why not? Please check all that apply. [We struggled to repay prior debt on time]"
debt_fin_applied_no_debt_nonprofitsbanned	"[debt_fin_applied_no_debt] You shared that your organization applied for debt financing in the last two years, but does not have any debt outstanding. Why not? Please check all that apply. [Lenders in our community would not lend to nonprofits]"
debt_fin_applied_no_debt_rejectedunknownreason	"[debt_fin_applied_no_debt] You shared that your organization applied for debt financing in the last two years, but does not have any debt outstanding. Why not? Please check all that apply. [We were rejected and don't know why]"
debt_fin_applied_no_debt_otheryn	"[debt_fin_applied_no_debt] You shared that your organization applied for debt financing in the last two years, but does not have any debt outstanding. Why not? Please check all that apply. [Other, please specify...]"
debt_fin_applied_no_debt_othertext	"[debt_fin_applied_no_debt] You shared that your organization applied for debt financing in the last two years, but does not have any debt outstanding. Why not? Please check all that apply. [Other, please specify...] [text]"
debt_fin_no_noneedcurrently	"[debt_fin_no] Why is your organization not considering debt financing? Please check all that apply: [We do not need debt currently or in the near-term, but it may be needed in the future]"
debt_fin_no_never	[debt_fin_no] Why is your organization not considering debt financing? Please check all that apply: [We do not currently need or foresee a need to take on debt at any time]
debt_fin_no_averse	[debt_fin_no] Why is your organization not considering debt financing? Please check all that apply: [Organizational leadership is averse to taking on debt]
debt_fin_no_noqual	[debt_fin_no] Why is your organization not considering debt financing? Please check all that apply: [We don't think we would meet a lender's qualifications to take on debt]
debt_fin_no_pasttrauma	[debt_fin_no] Why is your organization not considering debt financing? Please check all that apply: [Our organization has had a bad experience taking on or managing debt in the past]
debt_fin_no_other	"[debt_fin_no] Why is your organization not considering debt financing? Please check all that apply: [Other, please specify...]"
	"[debt_fin_no] Why is your organization not considering debt financing? Please check all that apply: [Other, please specify...] [text]"
	"[debt_fin_no_3A] Why has your organization not applied for debt financing? Please check all that apply: [We do not need debt currently or in the near-term, but it may be needed in the future]"
	[debt_fin_no_3A] Why has your organization not applied for debt financing? Please check all that apply: [We do not currently need or foresee a need to take on debt at any time]
	[debt_fin_no_3A] Why has your organization not applied for debt financing? Please check all that apply: [Organizational leadership is averse to taking on debt]
	[debt_fin_no_3A] Why has your organization not applied for debt financing? Please check all that apply: [We don't think we would meet a lender's qualifications to take on debt]
	[debt_fin_no_3A] Why has your organization not applied for debt financing? Please check all that apply: [Our organization has had a bad experience taking on or managing debt in the past]
	"[debt_fin_no_3A] Why has your organization not applied for debt financing? Please check all that apply: [Other, please specify...]"
	"[debt_fin_no_3A] Why has your organization not applied for debt financing? Please check all that apply: [Other, please specify...] [text]"
	[surplus_deficit_prior] We finished our fiscal year ending in 2014 with:*
	[surplus_prior_perc] Please approximate your 2014 operating surplus as a percent of annual expense:
	[deficit_prior_perc] Please approximate your 2014 operating deficit as a percent of annual expense:
	[deficit_rationale] This deficit was...
	"[surplus_deficit_current] For our fiscal year ending in 2015, we currently anticipate that we will end the year with:"
current_year_org_outlook_easier	"[financial_outlook_2015] What is your financial outlook for your organization in 2015? ""For our organization, 2015 will be..."" [Easier than 2014]"
current_year_org_outlook_harder	"[financial_outlook_2015] What is your financial outlook for your organization in 2015? ""For our organization, 2015 will be..."" [Harder than 2014]"
current_year_org_outlook_same	"[financial_outlook_2015] What is your financial outlook for your organization in 2015? ""For our organization, 2015 will be..."" [More or less the same as 2014]"
	[months_cash] Please indicate how many months of cash the organization has in reserve.  
challenge_demand	[greatest_challenges] What are the 3 greatest challenges your organization is facing? Please select no more than 3 challenges: [Meeting community demand for services or programs]
challenge_cut_gov_fund	[greatest_challenges] What are the 3 greatest challenges your organization is facing? Please select no more than 3 challenges: [Cuts in government funding]
challenge_delay_gov_fund	[greatest_challenges] What are the 3 greatest challenges your organization is facing? Please select no more than 3 challenges: [Delays in government funding]
challenge_longterm_sust	[greatest_challenges] What are the 3 greatest challenges your organization is facing? Please select no more than 3 challenges: [Achieving long-term financial sustainability]
challenge_cover_full_costs	[greatest_challenges] What are the 3 greatest challenges your organization is facing? Please select no more than 3 challenges: [Raising funding that covers full costs]
challenge_raise_gos	[greatest_challenges] What are the 3 greatest challenges your organization is facing? Please select no more than 3 challenges: [Raising unrestricted revenue/ GOS]
challenge_cashflow	"[greatest_challenges] What are the 3 greatest challenges your organization is facing? Please select no more than 3 challenges: [Having regular, reliable cash flow]"
challenge_cash_reserve	[greatest_challenges] What are the 3 greatest challenges your organization is facing? Please select no more than 3 challenges: [Developing cash reserves]
challenge_revenue	[greatest_challenges] What are the 3 greatest challenges your organization is facing? Please select no more than 3 challenges: [Insufficient revenue]
challenge_fixed_assets	[greatest_challenges] What are the 3 greatest challenges your organization is facing? Please select no more than 3 challenges: [Managing a facility or fixed asset]
challenge_growth	[greatest_challenges] What are the 3 greatest challenges your organization is facing? Please select no more than 3 challenges: [Managing or pursuing growth]
challenge_impact_meas	[greatest_challenges] What are the 3 greatest challenges your organization is facing? Please select no more than 3 challenges: [Measuring impact]
challenge_program_innov	[greatest_challenges] What are the 3 greatest challenges your organization is facing? Please select no more than 3 challenges: [Pursuing program innovation]
challenge_board_support	[greatest_challenges] What are the 3 greatest challenges your organization is facing? Please select no more than 3 challenges: [Not enough support from board]
challenge_need_staff	[greatest_challenges] What are the 3 greatest challenges your organization is facing? Please select no more than 3 challenges: [Not enough staff]
challenge_marketing	"[greatest_challenges] What are the 3 greatest challenges your organization is facing? Please select no more than 3 challenges: [Marketing, outreach, and community engagement]"
challenge_it_needs	[greatest_challenges] What are the 3 greatest challenges your organization is facing? Please select no more than 3 challenges: [IT concerns]
challenge_demographics	[greatest_challenges] What are the 3 greatest challenges your organization is facing? Please select no more than 3 challenges: [Adapting to changing community demographics]
challenge_aca_changes	[greatest_challenges] What are the 3 greatest challenges your organization is facing? Please select no more than 3 challenges: [Adapting to changes due to the Affordable Care Act]
challenge_volunteers	[greatest_challenges] What are the 3 greatest challenges your organization is facing? Please select no more than 3 challenges: [Engaging and mobilizing volunteers]
challenge_staff_retain	[greatest_challenges] What are the 3 greatest challenges your organization is facing? Please select no more than 3 challenges: [Ability to offer competitive staff pay and/or retain staff]
challenge_staff_environ_health	[greatest_challenges] What are the 3 greatest challenges your organization is facing? Please select no more than 3 challenges: [Environmental health hazards and risks]
challenge_staff_unavoidable_costs	"[greatest_challenges] What are the 3 greatest challenges your organization is facing? Please select no more than 3 challenges: [Increases in unavoidable costs (e.g., employee benefits, utilities, or rent)]"
challenge_other_yn	"[greatest_challenges] What are the 3 greatest challenges your organization is facing? Please select no more than 3 challenges: [Other, please specify...]"
challenge_other_text	"[greatest_challenges] What are the 3 greatest challenges your organization is facing? Please select no more than 3 challenges: [Other, please specify...] [text]"
	[action_prog_service.0] Programs & Services | Add or expand programs or services [TAKEN in past 12 mos.]
	[action_prog_service.0] Programs & Services | Add or expand programs or services [PLANNING for next 12 mos.]
	[action_prog_service.1] Programs & Services | Reduce or eliminate programs or services [TAKEN in past 12 mos.]
	[action_prog_service.1] Programs & Services | Reduce or eliminate programs or services [PLANNING for next 12 mos.]
	[action_prog_service.2] Programs & Services | Expand geographies served [TAKEN in past 12 mos.]
	[action_prog_service.2] Programs & Services | Expand geographies served [PLANNING for next 12 mos.]
	[action_prog_service.3] Programs & Services | Reduce or significantly restructure geographies served [TAKEN in past 12 mos.]
	[action_prog_service.3] Programs & Services | Reduce or significantly restructure geographies served [PLANNING for next 12 mos.]
	[action_prog_service.4] Programs & Services | Increase the number of people served or audience reached [TAKEN in past 12 mos.]
	[action_prog_service.4] Programs & Services | Increase the number of people served or audience reached [PLANNING for next 12 mos.]
	[action_prog_service.5] Programs & Services | Decrease the number of people served or audience reached [TAKEN in past 12 mos.]
	[action_prog_service.5] Programs & Services | Decrease the number of people served or audience reached [PLANNING for next 12 mos.]
	[action_prog_service.6] Programs & Services | Increase amount of service per client or programs per visitor/audience member [TAKEN in past 12 mos.]
	[action_prog_service.6] Programs & Services | Increase amount of service per client or programs per visitor/audience member [PLANNING for next 12 mos.]
	[action_prog_service.7] Programs & Services | Decrease amount of service per client or programs per visitor/audience member [TAKEN in past 12 mos.]
	[action_prog_service.7] Programs & Services | Decrease amount of service per client or programs per visitor/audience member [PLANNING for next 12 mos.]
	[action_prog_service.8] Programs & Services | Collaborate with another organization to improve or increase programs or services offered [TAKEN in past 12 mos.]
	[action_prog_service.8] Programs & Services | Collaborate with another organization to improve or increase programs or services offered [PLANNING for next 12 mos.]
	"[action_prog_service.9] Programs & Services | Use, purchase, or upgrade software specifically to capture data on program impact [TAKEN in past 12 mos.]"
	"[action_prog_service.9] Programs & Services | Use, purchase, or upgrade software specifically to capture data on program impact [PLANNING for next 12 mos.]"
	"[action_prog_service.10] Programs & Services | Upgrade hardware or software (computers, IT systems, applications) to improve service or program delivery [TAKEN in past 12 mos.]"
	"[action_prog_service.10] Programs & Services | Upgrade hardware or software (computers, IT systems, applications) to improve service or program delivery [PLANNING for next 12 mos.]"
	[action_prog_service.11] Programs & Services | Modify demographics of target clients or audience [TAKEN in past 12 mos.]
	[action_prog_service.11] Programs & Services | Modify demographics of target clients or audience [PLANNING for next 12 mos.]
	[action_prog_service.12] Programs & Services | Employ an integrated approach to holistically address client needs [TAKEN in past 12 mos.]
	[action_prog_service.12] Programs & Services | Employ an integrated approach to holistically address client needs [PLANNING for next 12 mos.]
	[action_prog_service.13] Programs & Services | None of the above [TAKEN in past 12 mos.]
	[action_prog_service.13] Programs & Services | None of the above [PLANNING for next 12 mos.]
	[action_ops_finance.0] Operations & Finance | Collaborate with another organization to reduce administrative expenses [TAKEN in past 12 mos.]
	[action_ops_finance.0] Operations & Finance | Collaborate with another organization to reduce administrative expenses [PLANNING for next 12 mos.]
	[action_ops_finance.1] Operations & Finance | Merge with another organization [TAKEN in past 12 mos.]
	[action_ops_finance.1] Operations & Finance | Merge with another organization [PLANNING for next 12 mos.]
	[action_ops_finance.2] Operations & Finance | Change the main ways in which you raise and spend money [TAKEN in past 12 mos.]
	[action_ops_finance.2] Operations & Finance | Change the main ways in which you raise and spend money [PLANNING for next 12 mos.]
	[action_ops_finance.3] Operations & Finance | Pursue an earned revenue venture [TAKEN in past 12 mos.]
	[action_ops_finance.3] Operations & Finance | Pursue an earned revenue venture [PLANNING for next 12 mos.]
	[action_ops_finance.4] Operations & Finance | Advocate to government on behalf of your organization's cause [TAKEN in past 12 mos.]
	[action_ops_finance.4] Operations & Finance | Advocate to government on behalf of your organization's cause [PLANNING for next 12 mos.]
	"[action_ops_finance.5] Operations & Finance | Seek funding other than grants and contracts, such as loans or other investments [TAKEN in past 12 mos.]"
	"[action_ops_finance.5] Operations & Finance | Seek funding other than grants and contracts, such as loans or other investments [PLANNING for next 12 mos.]"
	[action_ops_finance.6] Operations & Finance | Add to reserve funds [TAKEN in past 12 mos.]
	[action_ops_finance.6] Operations & Finance | Add to reserve funds [PLANNING for next 12 mos.]
	[action_ops_finance.7] Operations & Finance | Use reserve funds [TAKEN in past 12 mos.]
	[action_ops_finance.7] Operations & Finance | Use reserve funds [PLANNING for next 12 mos.]
	[action_ops_finance.8] Operations & Finance | Launch a capital campaign [TAKEN in past 12 mos.]
	[action_ops_finance.8] Operations & Finance | Launch a capital campaign [PLANNING for next 12 mos.]
	[action_ops_finance.9] Operations & Finance | Undergo organizational restructuring [TAKEN in past 12 mos.]
	[action_ops_finance.9] Operations & Finance | Undergo organizational restructuring [PLANNING for next 12 mos.]
	[action_ops_finance.10] Operations & Finance | Conduct long-term strategic or financial planning [TAKEN in past 12 mos.]
	[action_ops_finance.10] Operations & Finance | Conduct long-term strategic or financial planning [PLANNING for next 12 mos.]
	[action_ops_finance.11] Operations & Finance | Use outside help to improve financial knowledge or capacity [TAKEN in past 12 mos.]
	[action_ops_finance.11] Operations & Finance | Use outside help to improve financial knowledge or capacity [PLANNING for next 12 mos.]
	"[action_ops_finance.12] Operations & Finance | Upgrade hardware or software (computers, IT systems, applications) to improve organizational efficiency [TAKEN in past 12 mos.]"
	"[action_ops_finance.12] Operations & Finance | Upgrade hardware or software (computers, IT systems, applications) to improve organizational efficiency [PLANNING for next 12 mos.]"
	[action_ops_finance.13] Operations & Finance | Delay vendor payments [TAKEN in past 12 mos.]
	[action_ops_finance.13] Operations & Finance | Delay vendor payments [PLANNING for next 12 mos.]
	[action_ops_finance.14] Operations & Finance | Purchase a facility [TAKEN in past 12 mos.]
	[action_ops_finance.14] Operations & Finance | Purchase a facility [PLANNING for next 12 mos.]
	[action_ops_finance.15] Operations & Finance | Lease a facility [TAKEN in past 12 mos.]
	[action_ops_finance.15] Operations & Finance | Lease a facility [PLANNING for next 12 mos.]
	[action_ops_finance.16] Operations & Finance | Sell a facility [TAKEN in past 12 mos.]
	[action_ops_finance.16] Operations & Finance | Sell a facility [PLANNING for next 12 mos.]
	[action_ops_finance.17] Operations & Finance | Renovate a facility you lease or own [TAKEN in past 12 mos.]
	[action_ops_finance.17] Operations & Finance | Renovate a facility you lease or own [PLANNING for next 12 mos.]
	[action_ops_finance.18] Operations & Finance | Pursue funding that requires you to measure and achieve outcomes [TAKEN in past 12 mos.]
	[action_ops_finance.18] Operations & Finance | Pursue funding that requires you to measure and achieve outcomes [PLANNING for next 12 mos.]
	[action_ops_finance.19] Operations & Finance | Receive funding that requires you to measure and achieve outcomes [TAKEN in past 12 mos.]
